Name,Specialty,Symptoms,Usual onset,Duration,Causes,Risk factors,Diagnostic method,Prevention,Treatment,Prognosis,Frequency,Medication,ImageURL
Acanthosis nigricans,Dermatology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/df/Acanthosis-nigricans4.jpg
Achalasia,"Thoracic surgery, general surgery, laparoscopic surgery","Anorexia (but willing and trying to eat), inability to swallow food, chest pain comparable to heart attack, lightheadedness, dehydration, excessive vomiting after eating (often without nausea).","Normally in mid-to-late life, rarely during youth",Lifelong,Unknown,"Inconclusive, but possibly: history of autoimmune disorders, air-hunger that accompanies anxiety, faulty eating habits, improper diet","Esophageal Manometry, Biopsy, X-ray, Barrium swallow study, Endoscopy",No method of prevention,"Heller Myotomy and Fundoplomy, POEM, Pneumatic Dilation, Botulinum Toxin",~76% chance of survival after 20 years (in a western country such as Germany),"~1 in 100,000 people",,https://upload.wikimedia.org/wikipedia/commons/8/82/Acha.JPG
Achilles tendon rupture,"Orthopedics, emergency medicine",Pain in the heel,Sudden,,"Forced plantar flexion of the foot, direct trauma, long-standing tendonitis","Fluoroquinolones, significant change in exercise, rheumatoid arthritis, gout, corticosteroids","Based on symptoms and examination, supported by medical imaging",,Casting or surgery,,"1 per 10,000 people per year",,https://upload.wikimedia.org/wikipedia/commons/3/3c/Achilles-tendon.jpg
Acute coronary syndrome,Cardiology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e5/ACS_scheme.jpg
Adenomyosis,Gynecology,,,,,,,,,,20 to 35%.,,https://upload.wikimedia.org/wikipedia/commons/a/ab/Adenomyosis%2C_Hysterectomy_Specimen.jpg
Adjustment disorders,"Psychiatry, clinical psychology",,"Theoretically, within one to three months after a stressful event.","Theoretically, up to six months unless the stressor or its consequences continue.",,History of mental disorder; low social support.,,,Psychotherapy; bibliotherapy; structured paraprofessional help.,"Relatively good compared to many other mental disorders, but severity varies.",,,https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
Adnexal tumors,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a0/Incidences_and_prognoses_of_adrenal_tumors.png
Adrenal cancer,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a0/Incidences_and_prognoses_of_adrenal_tumors.png
Adrenoleukodystrophy,Medical genetics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/cc/ABCD1-gene.svg
Adult Still 's disease,,,,,,,,,,,,,
Agoraphobia,Psychiatry,"Anxiety in situations perceived to be unsafe, panic attacks",,> 6 months,Genetic and environmental factors,"Family history, stressful event",,,Cognitive behavioral therapy,Resolution in half with treatment,1.7% of adults,,https://upload.wikimedia.org/wikipedia/commons/1/14/Agora_of_the_Competaliasts_01_%28cropped%29.jpg
Alcohol intolerance,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0b/Chromosome.svg
Alcohol use disorder,"Psychiatry, clinical psychology, toxicology, addiction medicine","Drinking large amounts of alcohol over a long period, difficulty cutting down, acquiring and drinking alcohol taking up a lot of time, usage resulting in problems, withdrawal occurring when stopping",,Long term,Environmental and genetic factors,"Stress, anxiety, inexpensive, easy access","Questionnaires, blood tests",,"Alcohol cessation typically with benzodiazepines, counselling, acamprosate, disulfiram, naltrexone",,380 million / 5.1% adults (2016),,https://upload.wikimedia.org/wikipedia/commons/4/49/1904_Claim_of_Alcoholism_Being_Disease4.jpg
Alcoholic hepatitis,Gastroenterology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d6/Alcohol_related_liver_disease.webm
Allergies,Immunology,"Red eyes, itchy rash, runny nose, shortness of breath, swelling, sneezing",,,Genetic and environmental factors,,"Based on symptoms, skin prick test, blood test",Early exposure to potential allergens,"Avoiding known allergens, medications, allergen immunotherapy",,Common,"Steroids, antihistamines, epinephrine, mast cell stabilizers, antileukotrienes",https://upload.wikimedia.org/wikipedia/commons/3/36/Allergy_degranulation_processes_01.svg
Alpha-gal syndrome,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e1/Bush_Ticks_found_on_a_Spotted-tailed_quoll_%283%29.jpg
Ambiguous genitalia,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/53/Ambox_current_red_Americas.svg
Ameloblastoma,"Oncology, oral and maxillofacial surgery",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c3/Ameloblastoma.jpg
Amenorrhea,Gynecology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/65/Lock-green.svg
Amnestic syndrome,,,,,,,,,,,,,
Amniotic fluid embolism,Obstetrics,,,,,Unpredictable,,,,,"1 in 20,000 births",,https://upload.wikimedia.org/wikipedia/commons/6/65/Amniotic_fluid_embolism.jpg
Ampullary cancer,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1e/Biliary_system_new.svg
Amyloidosis,"Hematology, Endocrinology, rheumatology, cardiology","Feeling tired, weight loss, swelling of the legs, shortness of breath, bleeding, feeling light headed with standing",55â€“65 years old,,Genetic or acquired,,Tissue biopsy,,"Supportive care, directed at the underlying cause, dialysis, organ transplantation",Improved with treatment,3â€“13 per million per year (AL amyloidosis),,https://upload.wikimedia.org/wikipedia/commons/1/11/Amyloid_fibril_formation_and_classic_facial_features_of_AL_amyloidosis.jpg
Anal fissure,Gastroenterology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d6/WHO_Rod.svg
Anal fistula,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ea/Fistula_diag_01.svg
Anaphylaxis,Allergy and immunology,"Itchy rash, throat swelling, numbness, shortness of breath, lightheadedness,",Over minutes to hours,,"Insect bites, foods, medications",,Based on symptoms,,"Epinephrine, intravenous fluids",,0.05â€“2%,,https://upload.wikimedia.org/wikipedia/commons/d/d7/Allergy_skin_testing.JPG
Anemia,Hematology,"Feeling tired, pale skin, weakness, shortness of breath, feeling like passing out",,,"Bleeding, decreased red blood cell production, increased red blood cell breakdown",,Blood hemoglobin measurement,,,,2.36 billion / 33% (2015),,
"Aneurysm , abdominal aortic",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a5/AAA_rupture_risk.png
Aneurysms,Vascular surgery,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/12/Aneurysem.jpg
Angelman syndrome,Medical genetics,"Delayed development, unusually happy, intellectual disability, limited to no functional speech, balance and movement problems, small head, seizures",Noticeable by 6â€“12 months,,Genetic (new mutation),,"Based on symptoms, genetic testing",,Supportive care,Nearly normal life expectancy,"1 in 12,000 to 20,000 people",,
Angina pectoris,Cardiology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f4/A_man_having_a_Heart_Attack.png
Angiosarcoma,Oncology,"Often asymptomatic, non-specific symptoms common",Typically 60-70 however all age groups are affected,,Unknown,"Lymphedema, radiation therapy, various chemicals","Imaging, biopsy",,"Chemotherapy, radiation therapy, surgery","Depends on type, overall five-year survival ~ 30-38%",1 per million people (US),,https://upload.wikimedia.org/wikipedia/commons/4/49/Cutaneous_angiosarcoma_%284%29_CD31.jpg
Ankylosing spondylitis,Rheumatology,"Back pain, joint stiffness",Young adulthood,Long term,Unknown,,"Symptom based, medical imaging, blood tests",,"Medication, exercise, physical therapy",,0.1 to 0.8%,"NSAIDs, steroids, DMARDs, TNF Inhibitor",https://upload.wikimedia.org/wikipedia/commons/a/a8/0510_Spondylitis_ankylosans_%28morbus_bechterew%29_anagoria.JPG
Anorgasmia in women,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a1/Prostatelead.jpg
Anterior cruciate ligament injury,Orthopedics,"Audible ""crack"" with pain, knee instability, swelling of knee",,,"Non-contact injury, contact injury","Athletes, females","Physical exam, MRI","Neuromuscular training, core strengthening","Braces, physical therapy, surgery",,"c. 200,000 per year (US)",,https://upload.wikimedia.org/wikipedia/commons/b/b8/ACL_Tear.png
Anthrax,Infectious disease,"Skin form: small blister with surrounding swellingInhalational form: fever, chest pain, shortness of breathIntestinal form: nausea, vomiting, diarrhea, abdominal painInjection form: fever, abscess",1 day to 2 months post contact,,Bacillus anthracis,"Working with animals, travelers, postal workers, military personnel","Based on antibodies or toxin in the blood, microbial culture","Anthrax vaccination, antibiotics","Antibiotics, antitoxin",20â€“80% die without treatment,">2,000 cases per year",,https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_globe_content.svg
Antiphospholipid syndrome,"Immunology, Hematology, Rheumatology",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/78/Thrombotic_microangiopathy_-_very_high_mag.jpg
Anxiety disorders,"Psychiatry, clinical psychology","Worrying, fast heart rate, shakiness",15â€“35 years old,> 6 months,"Genetic, environmental, and psychological factors","Child abuse, family history, poverty",Psychological assessment,,"Lifestyle changes, counselling, medications",,12% per year,"Antidepressants, anxiolytics, beta blockers",https://upload.wikimedia.org/wikipedia/commons/5/53/A._Morison_%22Physiognomy_of_mental_diseases%22%2C_cases_Wellcome_L0022722_%28cropped%29.jpg
Aortic aneurysm,Vascular surgery,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/ce/6.5cmAAAwith3cmlumen.png
Aortic valve disease,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/22/Bicuspid_Aortic_Valve.svg
Aphasia,"Neurology, Psychiatry",,,,,,,,Speech therapy,,,,
Aplastic anemia,"Oncology, hematology","pale skin, hematoma, fast heart rate",,,,"Smoking, family history, ionizing radiation, some chemicals, prior chemotherapy, Down syndrome.",bone marrow biopsy,,"bone marrow transplant, chemotherapy, radiotherapy, targeted therapy",five-year survival rate 45%,3.83 million (2015),,https://upload.wikimedia.org/wikipedia/commons/5/52/Acap.svg
Appendicitis,General surgery,"Right lower abdominal pain, vomiting, decreased appetite",,,,,"Based on symptoms, medical imaging, blood tests",,"Surgical removal of the appendix, antibiotics",,11.6 million (2015),,
ARDS,Critical care medicine,"Shortness of breath, rapid breathing, bluish skin coloration Chest pain or pressure, Loss of speech of movement",Within a week,,,,Adults: PaO2/FiO2 ratio of less than 300 mmÂ HgChildren: oxygenation index > 4,,"Mechanical ventilation, ECMO",35 to 90Â % risk of death,3 million per year,,https://upload.wikimedia.org/wikipedia/commons/d/da/Chevalier_l%C3%A9gion_d%27honneur_2.png
Arteriovenous fistula,Cardiology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fd/Blausen_0049_ArteriovenousFistula.png
Arteriovenous malformation,Neurosurgery,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0d/Arteriovenous_malformation_-_brain_-_low_mag.jpg
Arthritis,Rheumatology,"Joint pain, stiffness, redness, swelling, decreased range of motion",,,,,,,"Resting, applying ice or heat, weight loss, exercise, joint replacement",,,"Ibuprofen, paracetamol (acetaminophen)",https://upload.wikimedia.org/wikipedia/commons/0/0b/Gout_Signs_and_Symptoms.jpg
Asbestosis,Pulmonology,"Shortness of breath, cough, wheezing, chest pain",~10-40 years after long-term exposure,,Asbestos,,"History of exposure, medical imaging",Eliminating exposure,"Supportive care, stopping smoking, vaccination, oxygen therapy",Up to 40% continue to worsen,"157,000 (2015)",,https://upload.wikimedia.org/wikipedia/commons/4/43/A_laboratory_heat_spreader_made_of_asbestos%2C_over_Teclu_burner.jpg
Ascariasis,Infectious disease,"Abdominal swelling, abdominal pain, diarrhea, shortness of breath",,,Eating Ascaris eggs,,,"Improved sanitation, handwashing",,,762 million (2015),"Albendazole, mebendazole, levamisole, pyrantel pamoate",https://upload.wikimedia.org/wikipedia/commons/f/f4/Ascariasis_LifeCycle_-_CDC_Division_of_Parasitic_Diseases.png
Aspergillosis,Infectious disease,,,,,,,,,,14 million,,https://upload.wikimedia.org/wikipedia/commons/1/17/Aspergillosis2.jpg
Asthma,Pulmonology,"Recurring episodes of wheezing, coughing, chest tightness, shortness of breath",Childhood,Long term,Genetic and environmental factors,"Air pollution, allergens","Based on symptoms, response to therapy, spirometry",,"Avoiding triggers, inhaled corticosteroids, salbutamol",,approx. 262 million (2019),,https://upload.wikimedia.org/wikipedia/commons/2/2e/Ambox_contradict.svg
Asthma attack,Pulmonology,"Recurring episodes of wheezing, coughing, chest tightness, shortness of breath",Childhood,Long term,Genetic and environmental factors,"Air pollution, allergens","Based on symptoms, response to therapy, spirometry",,"Avoiding triggers, inhaled corticosteroids, salbutamol",,approx. 262 million (2019),,https://upload.wikimedia.org/wikipedia/commons/2/2e/Ambox_contradict.svg
Astigmatism,"Ophthalmology, optometry","Distorted or blurred vision at all distances, eyestrain, headaches",,,Unclear,,Eye exam,,"Glasses, contact lenses, surgery",,"30% to 60% of adults (Europe, Asia)",,https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
Astrocytoma,"Neuro-oncology, neurosurgery",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/64/Astrocytoma.jpg
Ataxia,"Neurology, Psychiatry",Lack of coordination Slurred speech Trouble eating and swallowing Deterioration of fine motor skills Difficulty walking Gait abnormalities Eye movement abnormalities Tremors Heart problems,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/67/Gluten_ataxia_eng.ogv
Atrial fibrillation,Cardiology,"None, heart palpitations, fainting, shortness of breath, chest pain",> age 50,,,"High blood pressure, valvular heart disease, coronary artery disease, cardiomyopathy, congenital heart disease, COPD, obesity, smoking, sleep apnea","Feeling the pulse, electrocardiogram",,"Lifestyle modifications, rate control, rhythm control, anticoagulation",,"2.5% (developed world), 0.5% (developing world)",,https://upload.wikimedia.org/wikipedia/commons/5/5a/3D_Medical_Animation_of_Left_Atrial_Appendage_Occlusion.jpg
Atrial flutter,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/86/Aflut.jpg
Atrial tachycardia,Cardiology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/16/CC-BY_icon.svg
Attention-deficit/hyperactivity disorder ( ADHD ) in children,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg
Attention-deficit/hyperactivity disorder in adults,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/94/Attention_deficit_hyperactivity_disorder_-_Attention_deficit_hyperactivity_disorder_-_Reduced_brain_volume_on_the_left_side_from_ADHD.jpg
Atypical depression,Psychiatry,"Low mood, mood reactivity, hyperphagia, hypersomnia, leaden paralysis, interpersonal rejection sensitivity",Typically adolescence,,,"Bipolar disorder, anxiety disorder, female sex",,,,,15-29% of depressed patients,,https://upload.wikimedia.org/wikipedia/commons/7/72/American_Lady_Against_The_Sky.jpg
Atypical hyperplasia of the breast,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/4a/Atypical_ductal_hyperplasia_-_high_mag.jpg
Autism spectrum disorder,"Clinical psychology, psychiatry, pediatrics, occupational medicine","Impairments in social interaction, verbal and nonverbal communication, and the presence of restricted interests and repetitive behavior",Early childhood,Lifelong,Uncertain,"Family history, certain genetic conditions, having older parents, certain prescribed drugs, perinatal and neonatal health issues",Based on observation of behavior and development,,"Behavioral therapy, educational therapy, psychotropic medication",,< 3% of people approx. (< 234 million in 2020),,https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
Autoimmune pancreatitis,Gastroenterology,"Painless jaundice, pancreatic mass",,,IgG4-related disease,,"Biopsy, imaging, serology",,"Corticosteroids (first line), azathioprine, rituximab",,,,https://upload.wikimedia.org/wikipedia/en/9/99/Question_book-new.svg
AVNRT,Cardiology,"Palpitations, chest tightness, neck pulsation",,,,,"electrocardiogram, electrophysiological study",,"vagal manoeuvres, adenosine, ablation",,,"adenosine, calcium channel antagonists, beta blockers, flecainide",
Baby acne,Dermatology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d9/Neonatal_acne_on_the_forehead_of_an_infant%2C_2009-10-18.jpg
Back pain,Orthopedics,,,,,,,,,,,,
Bacterial vaginosis,"Gynecology, Infectious disease","Vaginal discharge that often smells like fish, burning with urination",,,Imbalance of the naturally occurring bacteria in the vagina,"Douching, new or multiple sex partners, antibiotics, using an intrauterine device",Testing the vaginal discharge,Probiotics,,,~ 5% to 70% of women,Clindamycin or metronidazole,https://upload.wikimedia.org/wikipedia/commons/0/09/Bacterial_vaginosis_workup.jpg
Balance problems,Neurology Otolaryngology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fc/Balance_disorder.ogg
Barotrauma,,Dependent on cause,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c2/Cobas_b_121_Measurement_Chamber_%28detail%29.jpg
Barrett 's esophagus,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/97/Barretts_alcian_blue.jpg
Bedbugs,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2e/Ambox_contradict.svg
Behcet 's disease,,,,,,,,,,,,,
Benign adrenal tumors,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a0/Incidences_and_prognoses_of_adrenal_tumors.png
Benign peripheral nerve tumor,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/32/Antoni_A_area_of_schwannoma_with_Verocay_bodies_-_annotated.png
Bicuspid aortic valve,Cardiology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/22/Bicuspid_Aortic_Valve.svg
Binge drinking,"Toxicology, psychiatry",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6f/Georg_Emanuel_Opiz%2C_Der_S%C3%A4ufer_1804.jpg
Bladder exstrophy,Medical genetics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/8d/Classical_bladder_exstrophy.jpg
Bladder stones,Urology,Pain,,,Calcium,,,Diet,Juice Soda Vinegar Surgery,,,,https://upload.wikimedia.org/wikipedia/commons/d/d5/Bladder_Stone_08783.jpg
Blastocystis hominis,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/49/Blastocystis_life_cycle_Valzn.png
Blocked tear duct,Ophthalmology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d2/Tear_system.svg
Body dysmorphic disorder,"Psychiatry, clinical psychology",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1c/Is_this_me_mental_disorder_of_looking.jpg
Bone metastasis,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e3/3D_rendered_CT_of_hip_bone_metastases.jpg
Botulism,"Infectious disease, gastroenterology","Weakness, trouble seeing, feeling tired, trouble speaking",12 to 72 hours,Variable,Clostridium botulinum,,Finding the bacteria or their toxin,"Proper food preparation, no honey for children younger than one","Antitoxin, antibiotics, mechanical ventilation",~7.5% risk of death,,,https://upload.wikimedia.org/wikipedia/commons/b/b4/Botulism1and2.JPG
Brachial plexus injury,Emergency medicine,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5e/Brachial_plexus_1323.png
Brain AVM,Medical genetics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/91/AVM_grossly.jpg
Brain tumor,"Neurosurgery, Neuro-oncology","Vary depending on the part of the brain involved, headaches, seizures, problem with vision, vomiting, mental changes",,,Usually unknown,"Neurofibromatosis, exposure to vinyl chloride, Epsteinâ€“Barr virus, ionizing radiation","Computed tomography, magnetic resonance imaging, tissue biopsy",,"Surgery, radiation therapy, chemotherapy",Average five-year survival rate 33% (US),1.2 million nervous system cancers (2015),"Anticonvulsants, dexamethasone, furosemide",https://upload.wikimedia.org/wikipedia/commons/b/b9/Brain_headBorder.jpg
