Name,link,Symptoms,Overview,Causes,Risk factors,Diagnosis,Treatment,Remedies,Medication,info-Specialty,info-Symptoms,info-Usual onset,info-Duration,info-Causes,info-Risk factors,info-Diagnostic method,info-Prevention,info-Treatment,info-Prognosis,info-Frequency,info-Medication,ImageURL
Acanthosis nigricans,https://www.mayoclinic.org/diseases-conditions/acanthosis-nigricans/symptoms-causes/syc-20368983,,"Acanthosis nigricans is a skin condition that causes a dark discoloration in body folds and creases. Acanthosis nigricans is a skin condition characterized by areas of dark, velvety discoloration in body folds and creases.","Acanthosis nigricans often occurs in people who have disorders such as ovarian cysts, underactive thyroids or problems with the adrenal glands. High-dose niacin, birth control pills, prednisone and other corticosteroids may cause acanthosis nigricans. Acanthosis nigricans also sometimes occurs with lymphoma or when a cancerous tumor begins growing in an internal organ, such as the stomach, colon or liver.",,"Rarely, a small skin sample is removed (biopsied) for examination in a lab. If the cause of acanthosis nigricans is unclear, the doctor may recommend blood tests, X-rays or other tests to look for possible underlying causes.","Examples may include If one is concerned about the appearance of the skin or if the lesions become uncomfortable or start to smell bad, the doctor may suggest: One is likely to start by seeing the family doctor. Prescription creams to lighten or soften the affected areas Antibacterial soaps, used gently, as scrubbing could worsen the condition Topical antibiotic Oral acne medications Laser therapy to reduce the skin's thickness Losing weight.",,,Dermatology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/df/Acanthosis-nigricans4.jpg
Achalasia,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850,,"Achalasia is a rare disorder that makes it difficult for food and liquid to pass from the swallowing tube connecting the mouth and stomach (esophagus) into the stomach. As a result, the esophagus becomes paralyzed and dilated over time and eventually loses the ability to squeeze food down into the stomach. However, in achalasia the food is coming from the esophagus, whereas in GERD the material comes from the stomach.","There are theories about what causes this, but viral infection or autoimmune responses have been suspected. Very rarely, achalasia may be caused by an inherited genetic disorder or infection. Achalasia: Treatment, current status and future advances.",,"This test measures the rhythmic muscle contractions in the esophagus when one swallow, the coordination and force exerted by the esophagus muscles, and how well the lower esophageal sphincter relaxes or opens during a swallow. The doctor inserts a thin, flexible tube equipped with a light and camera (endoscope) down the throat, to examine the inside of the esophagus and stomach. Endoscopy can also be used to collect a sample of tissue (biopsy) to be tested for complications of reflux such as Barrett's esophagus.",,,,"Thoracic surgery, general surgery, laparoscopic surgery","Anorexia (but willing and trying to eat), inability to swallow food, chest pain comparable to heart attack, lightheadedness, dehydration, excessive vomiting after eating (often without nausea).","Normally in mid-to-late life, rarely during youth",Lifelong,Unknown,"Inconclusive, but possibly: history of autoimmune disorders, air-hunger that accompanies anxiety, faulty eating habits, improper diet","Esophageal Manometry, Biopsy, X-ray, Barrium swallow study, Endoscopy",No method of prevention,"Heller Myotomy and Fundoplomy, POEM, Pneumatic Dilation, Botulinum Toxin",~76% chance of survival after 20 years (in a western country such as Germany),"~1 in 100,000 people",,https://upload.wikimedia.org/wikipedia/commons/8/82/Acha.JPG
Achilles tendon rupture,https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/symptoms-causes/syc-20353234,,"The Achilles tendon is a strong fibrous cord that connects the muscles in the back of the calf to the heel bone. If the Achilles tendon ruptures, one might hear a pop, followed by an immediate sharp pain in the back of the ankle and lower leg that is likely to affect the ability to walk properly.",,"Factors that may increase the risk of Achilles tendon rupture include Age. Achilles tendon injuries occur more often during sports that involve running, jumping, and sudden starts and stops such as soccer, basketball and tennis. However, this medication can weaken nearby tendons and has been associated with Achilles tendon ruptures. Fluoroquinolone antibiotics, such as ciprofloxacin (Cipro) or levofloxacin (Levaquin), increase the risk of Achilles tendon rupture.",,,,,"Orthopedics, emergency medicine",Pain in the heel,Sudden,,"Forced plantar flexion of the foot, direct trauma, long-standing tendonitis","Fluoroquinolones, significant change in exercise, rheumatoid arthritis, gout, corticosteroids","Based on symptoms and examination, supported by medical imaging",,Casting or surgery,,"1 per 10,000 people per year",,https://upload.wikimedia.org/wikipedia/commons/3/3c/Achilles-tendon.jpg
Acute coronary syndrome,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136,"However, signs and symptoms may vary significantly depending on the age, sex and other medical conditions. One is more likely to have signs and symptoms without chest pain or discomfort if one is a woman, older adult or have diabetes.","Acute coronary syndrome is a term used to describe a range of conditions associated with sudden, reduced blood flow to the heart. Even when acute coronary syndrome causes no cell death, the reduced blood flow changes how the heart works and is a sign of a high risk of heart attack.","The death of cells resulting in damage to muscle tissues is a heart attack (myocardial infarction). Even when there is no cell death, the decrease in oxygen still results in heart muscles that don't work the way they should.",,"If one has signs or symptoms associated with acute coronary syndrome, an emergency room doctor will likely order several tests. Other tests may be done to learn more about the condition, rule out other causes of symptoms, or to help the doctor personalize the diagnosis and treatment. A long, tiny tube (catheter) is threaded through an artery, usually in the arm or groin, to the arteries in the heart. During the stress test, an ECG, echocardiogram or myocardial perfusion imaging may be used to see how well the heart works.",,"If one has not been exercising regularly, talk to the doctor about the best exercise to begin a healthy and safe routine. Excess weight strains the heart and can contribute to high cholesterol, high blood pressure, diabetes, heart disease and other conditions.","Depending on the diagnosis, medications for emergency or ongoing care (or both) may include the following: The doctor may recommend one of these procedures to restore blood flow to the heart muscles: Thrombolytics (clot busters) help dissolve a blood clot that's blocking an artery. Antiplatelet drugs help prevent blood clots from forming and include aspirin, clopidogrel (Plavix), prasugrel (Effient) and others. Angiotensin-converting enzyme (ACE) inhibitors widen blood vessels and improve blood flow, allowing the heart to work better. Angiotensin receptor blockers (ARBs) help control blood pressure and include irbesartan (Avapro), losartan (Cozaar) and several others. With this procedure, a surgeon takes a piece of blood vessel (graft) from another part of the body and creates a new route for blood that goes around (bypasses) a blocked coronary artery.",Cardiology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e5/ACS_scheme.jpg
Adenomyosis,https://www.mayoclinic.org/diseases-conditions/adenomyosis/symptoms-causes/syc-20369138,,"With adenomyosis, the same tissue that lines the uterus (endometrial tissue) is present within and grows into the muscular walls of the uterus. Adenomyosis (ad-uh-no-my-O-sis) occurs when the tissue that normally lines the uterus (endometrial tissue) grows into the muscular wall of the uterus.","Some experts believe that endometrial cells from the lining of the uterus invade the muscle that forms the uterine walls. Uterine incisions made during an operation such as a cesarean section (C-section) might promote the direct invasion of the endometrial cells into the wall of the uterus. Inflammation of the uterine lining during the postpartum period might cause a break in the normal boundary of cells that line the uterus. A recent theory proposes that bone marrow stem cells might invade the uterine muscle, causing adenomyosis.",,,"Treatment options for adenomyosis include To ease pelvic pain and cramping related to adenomyosis, The first appointment will be with either the primary care provider or the gynecologist. The doctor might recommend anti-inflammatory medications, such as ibuprofen (Advil, Motrin IB, others), to control the pain. By starting an anti-inflammatory medicine one to two days before the period begins and taking it during the period, one can reduce menstrual blood flow and help relieve pain. Progestin-only contraception, such as an intrauterine device, or continuous-use birth control pills often cause amenorrhea the absence of the menstrual periods which might provide some relief.",,,Gynecology,,,,,,,,,,20 to 35%.,,https://upload.wikimedia.org/wikipedia/commons/a/ab/Adenomyosis%2C_Hysterectomy_Specimen.jpg
Adjustment disorders,https://www.mayoclinic.org/diseases-conditions/adjustment-disorders/symptoms-causes/syc-20355224,"However, persistent or chronic adjustment disorders can continue for more than 6 months, especially if the stressor is ongoing, such as unemployment. Or call a suicide hotline number in the United States, call the National Suicide Prevention Lifeline at 1-800-273-TALK (1-800-273-8255) to reach a trained counselor.","Adjustment disorders are stress-related conditions. One experience more stress than would normally be expected in response to a stressful or unexpected event, and the stress causes significant problems in the relationships, at work or at school. Work problems, going away to school, an illness, death of a close family member or any number of life changes can cause stress.",,,"Diagnosis of adjustment disorders is based on identification of major life stressors, the symptoms and how they impact the ability to function. He or she may use the criteria in the Diagnostic and Statistical Manual of Mental Disorders (DSM-5), published by the American Psychiatric Association. For diagnosis of adjustment disorders, the DSM-5 lists these criteria: The DSM-5 lists six different types of adjustment disorders. Adjustment disorders can be: Having emotional or behavioral symptoms within three months of a specific stressor occurring in the life Experiencing more stress than would normally be expected in response to a stressful life event and/or having stress that causes significant problems in the relationships, at work or at school Symptoms are not the result of another mental health disorder or part of normal grieving With depressed mood. Symptoms mainly include feeling sad, tearful and hopeless and experiencing a lack of pleasure in the things one used to enjoy. Symptoms don't fit the other types of adjustment disorders, but often include physical problems, problems with family or friends, or work or school problems.",,"Resilience is the ability to adapt well to stress, adversity, trauma or tragedy basically, the ability to bounce back after experiencing a difficult event. Building resilience may vary from person to person, but consider these strategies: It may help one to talk things over with caring family and friends, receive support from a faith community, or find a support group geared toward the situation. Many parents assume that talking about a difficult change, such as divorce, will make a child feel worse.",,"Psychiatry, clinical psychology",,"Theoretically, within one to three months after a stressful event.","Theoretically, up to six months unless the stressor or its consequences continue.",,History of mental disorder; low social support.,,,Psychotherapy; bibliotherapy; structured paraprofessional help.,"Relatively good compared to many other mental disorders, but severity varies.",,,https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
Adrenal cancer,https://www.mayoclinic.org/diseases-conditions/adrenal-cancer/symptoms-causes/syc-20351026,,"Perched atop each of the kidneys, the adrenal glands produce hormones that help regulate the metabolism, immune system, blood pressure and other essential functions. Adrenal cancer is a rare cancer that begins in one or both of the small, triangular glands (adrenal glands) located on top of the kidneys.",,"Adrenal cancer happens more often in people with inherited syndromes that increase the risk of certain cancers. Plymouth Meeting, Pa.: National Comprehensive Cancer Network.","Laboratory tests of the blood and urine may reveal unusual levels of hormones produced by the adrenal glands, including cortisol, aldosterone and androgens. The doctor may recommend CT, MRI or positron emission tomography (PET) scans to better understand any growths on the adrenal glands and to see if cancer has spread to other areas of the body, such as the lungs or the liver.",,,,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a0/Incidences_and_prognoses_of_adrenal_tumors.png
Adrenoleukodystrophy,https://www.mayoclinic.org/diseases-conditions/adrenoleukodystrophy/symptoms-causes/syc-20369157,,"Adrenoleukodystrophy (uh-dree-noh-loo-koh-DIS-truh-fee) is a type of hereditary (genetic) condition that damages the membrane (myelin sheath) that insulates nerve cells in the brain. In adrenoleukodystrophy (ALD), the body can't break down very long-chain fatty acids (VLCFAs), causing saturated VLCFAs to build up in the brain, nervous system and adrenal gland. The most common type of ALD is X-linked ALD, which is caused by a genetic defect on the X chromosome. X-linked ALD affects males more severely than females, who carry the disease. This form of X-linked ALD usually occurs between ages 4 and 10. The white matter of the brain is progressively damaged (leukodystrophy), and symptoms worsen over time. If not diagnosed early, childhood-onset ALD may lead to death within five to 10 years. Hormone-producing glands (adrenal glands) often fail to produce enough steroids (adrenal insufficiency) in people who have ALD, causing a form of X-linked ALD known as Addison's disease. This adult-onset form of X-linked ALD is a less severe and slowly progressive form that causes symptoms such as a stiff gait and bladder and bowel dysfunction.",,,"These tests check for high levels of very long-chain fatty acids (VLCFAs) in the blood, which are a key indicator of adrenoleukodystrophy. This allows doctors to detect abnormalities in the brain that could indicate adrenoleukodystrophy, including damage to the nerve tissue (white matter) of the brain. Doctors may use several types of MRI to view the most-detailed images of the brain and detect early signs of leukodystrophy.","However, stem cell transplantation may stop the progression of ALD if done when neurological symptoms first appear. Treatment options may include In a recent clinical trial, boys with early-stage cerebral ALD were treated with gene therapy as an alternative to stem cell transplantation. Additional research is necessary to assess long-term results and safety of gene therapy for cerebral ALD. This may be an option to slow or halt the progression of adrenoleukodystrophy in children if ALD is diagnosed and treated early. Hematopoietic stem-cell gene therapy for cerebral adrenoleukodystrophy.",,,Medical genetics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/cc/ABCD1-gene.svg
Adult Still 's disease,https://www.mayoclinic.org/diseases-conditions/adult-stills-disease/symptoms-causes/syc-20351907,"If one has a high fever, rash and achy joints, see the doctor. Also, if one has adult Still's disease and develop a cough, difficulty breathing, chest pain or any other unusual symptoms, call the doctor. One might have two fever spikes daily, with the temperature returning to normal in between. The joints especially the knees and wrists might be stiff, painful and inflamed. Muscular pain usually ebbs and flows with the fever, but the pain can be severe enough to disrupt the daily activities.",,,,,"Here are ways to make the most of the health if one has adult Still's disease: One is likely to seek advice from the primary care provider, but he or she might refer one to a specialist in joint diseases (rheumatologist). Over-the-counter NSAIDs, such as ibuprofen (Advil, Motrin IB, others) or naproxen sodium (Aleve), may help with mild joint pain and inflammation. These powerful drugs reduce inflammation, but may lower the body's resistance to infections and increase the risk of developing osteoporosis. The medication methotrexate (Trexall) is often used in combination with prednisone, which allows the prednisone dose to be reduced. Drugs such as infliximab (Remicade), adalimumab (Humira) and etanercept (Enbrel) have shown some promise, but their long-term benefit is still unknown. If other medications haven't worked, the doctor may suggest trying anakinra (Kineret), tocilizumab (Actemra) or rituximab (Rituxan). If one is taking high doses of prednisone, talk to the doctor about taking more calcium and vitamin D supplements to help prevent osteoporosis.","Even if one is symptom-free some days, it's important to take the medications as the doctor recommends. If one is taking high doses of prednisone, talk to the doctor about taking more calcium and vitamin D supplements to help prevent osteoporosis.",,,,,,,,,,,,,,
Agoraphobia,https://www.mayoclinic.org/diseases-conditions/agoraphobia/symptoms-causes/syc-20355987,,"Agoraphobia (ag-uh-ruh-FOE-be-uh) is a type of anxiety disorder in which one fear and avoid places or situations that might cause one to panic and make one feel trapped, helpless or embarrassed. Most people who have agoraphobia develop it after having one or more panic attacks, causing them to worry about having another attack and avoid the places where it may happen again.",,,,,,"Certain types of antidepressants are often used to treat agoraphobia, and sometimes anti-anxiety drugs are used on a limited basis. For example, the herbal supplement kava, also called kava kava, appeared to be a promising treatment for anxiety, but there have been reports of serious liver damage, even with short-term use. Certain antidepressants called selective serotonin reuptake inhibitors (SSRIs), such as fluoxetine (Prozac) and sertraline (Zoloft), are used for the treatment of panic disorder with agoraphobia. Anti-anxiety drugs called benzodiazepines are sedatives that, in limited circumstances, the doctor may prescribe to temporarily relieve anxiety symptoms.",Psychiatry,"Anxiety in situations perceived to be unsafe, panic attacks",,> 6 months,Genetic and environmental factors,"Family history, stressful event",,,Cognitive behavioral therapy,Resolution in half with treatment,1.7% of adults,,https://upload.wikimedia.org/wikipedia/commons/1/14/Agora_of_the_Competaliasts_01_%28cropped%29.jpg
